"Warehouse ID","Variant Name",Stock,Barcode1,"Cost Price","Selling Price","Shopify Variant ID",SKU,"KSU (Shopify Product)","Created At","Updated At"
108678,L,0,C14PO01FPKL,37290,138000,,C14PO01FPKL,,"2025-06-02 17:48:41","2025-09-01 10:03:00"
108679,M,0,C14PO01FPKM,37290,138000,44219978612908,C14PO01FPKM,,"2025-06-02 17:48:42","2025-11-24 18:16:00"
108680,S,11,C14PO01FPKS,37290,138000,,C14PO01FPKS,,"2025-06-02 17:48:42","2025-10-20 09:30:00"
108682,L,0,C14PO01FWHL,37290,138000,,C14PO01FWHL,,"2025-06-02 17:48:42","2025-09-01 10:03:00"
108683,M,0,C14PO01FWHM,37290,138000,44219978645676,C14PO01FWHM,,"2025-06-02 17:48:42","2025-11-24 18:16:00"
108684,S,1,C14PO01FWHS,37290,138000,44219978678444,C14PO01FWHS,,"2025-06-02 17:48:42","2025-11-24 18:16:00"
108686,L,1,C14PO01UCRL,49390,188000,44219978711212,C14PO01UCRL,,"2025-06-02 17:48:42","2025-11-24 18:16:00"
108687,M,2,C14PO01UCRM,49390,188000,,C14PO01UCRM,,"2025-06-02 17:48:43","2025-11-18 15:49:00"
108688,S,2,C14PO01UCRS,49390,188000,44219978743980,C14PO01UCRS,,"2025-06-02 17:48:43","2025-11-24 18:16:00"
108690,L,0,C14PO01UIVL,49390,188000,44219978776748,C14PO01UIVL,,"2025-06-02 17:48:43","2025-11-24 18:16:00"
108691,M,3,C14PO01UIVM,49390,188000,44219978809516,C14PO01UIVM,,"2025-06-02 17:48:43","2025-11-24 18:16:00"
108692,S,1,C14PO01UIVS,49390,188000,44219978842284,C14PO01UIVS,,"2025-06-02 17:48:43","2025-11-24 18:16:00"
108694,L,0,C14PO01UMGL,49390,188000,44219978875052,C14PO01UMGL,,"2025-06-02 17:48:44","2025-11-24 18:16:00"
108695,M,8,C14PO01UMGM,49390,188000,44219978907820,C14PO01UMGM,,"2025-06-02 17:48:44","2025-11-24 18:16:00"
108696,S,5,C14PO01UMGS,49390,188000,44219978940588,C14PO01UMGS,,"2025-06-02 17:48:44","2025-11-24 18:16:00"
108698,L,0,C14PO01UNVL,49390,188000,44219978973356,C14PO01UNVL,,"2025-06-02 17:48:44","2025-11-24 18:16:00"
108699,M,6,C14PO01UNVM,49390,188000,44219979006124,C14PO01UNVM,,"2025-06-02 17:48:44","2025-11-24 18:16:00"
108700,S,2,C14PO01UNVS,49390,188000,44219979038892,C14PO01UNVS,,"2025-06-02 17:48:44","2025-11-24 18:16:00"
108702,L,0,C14PO02FGNL,41690,138000,,C14PO02FGNL,,"2025-06-02 17:48:45","2025-09-01 10:03:00"
108703,M,4,C14PO02FGNM,41690,138000,,C14PO02FGNM,,"2025-06-02 17:48:45","2025-09-01 10:03:00"
108704,S,16,C14PO02FGNS,41690,138000,,C14PO02FGNS,,"2025-06-02 17:48:45","2025-09-01 10:03:00"
108706,L,0,C14PO02FWHL,41690,138000,,C14PO02FWHL,,"2025-06-02 17:48:45","2025-09-01 10:03:00"
108707,M,0,C14PO02FWHM,41690,138000,,C14PO02FWHM,,"2025-06-02 17:48:45","2025-09-01 10:03:00"
108708,S,10,C14PO02FWHS,41690,138000,,C14PO02FWHS,,"2025-06-02 17:48:45","2025-09-01 10:03:00"
108710,L,1,C14PO02UCRL,60170,188000,,C14PO02UCRL,,"2025-06-02 17:48:46","2025-09-01 10:03:00"
108711,M,5,C14PO02UCRM,60170,188000,,C14PO02UCRM,,"2025-06-02 17:48:46","2025-09-01 10:03:00"
108712,S,2,C14PO02UCRS,60170,188000,,C14PO02UCRS,,"2025-06-02 17:48:46","2025-10-20 09:30:00"
108714,L,2,C14PO02UIVL,60170,188000,,C14PO02UIVL,,"2025-06-02 17:48:46","2025-10-20 09:30:00"
108715,M,5,C14PO02UIVM,60170,188000,,C14PO02UIVM,,"2025-06-02 17:48:46","2025-09-01 10:03:00"
108716,S,1,C14PO02UIVS,60170,188000,,C14PO02UIVS,,"2025-06-02 17:48:46","2025-11-12 14:33:00"
108718,L,0,C14PO02UMGL,60170,188000,,C14PO02UMGL,,"2025-06-02 17:48:47","2025-09-01 10:03:00"
108719,M,5,C14PO02UMGM,60170,188000,,C14PO02UMGM,,"2025-06-02 17:48:47","2025-09-01 10:03:00"
108720,S,7,C14PO02UMGS,60170,188000,,C14PO02UMGS,,"2025-06-02 17:48:47","2025-09-01 10:03:00"
108722,L,0,C14PO02UNVL,60170,188000,,C14PO02UNVL,,"2025-06-02 17:48:47","2025-09-01 10:03:00"
108723,M,8,C14PO02UNVM,60170,188000,,C14PO02UNVM,,"2025-06-02 17:48:47","2025-11-01 16:15:00"
108724,S,6,C14PO02UNVS,60170,188000,,C14PO02UNVS,,"2025-06-02 17:48:47","2025-09-01 10:03:00"
108726,L,0,C14PO03FBKL,16421,108000,,C14PO03FBKL,,"2025-06-02 17:48:48","2025-09-01 10:03:00"
108727,M,4,C14PO03FBKM,16421,108000,44219979104428,C14PO03FBKM,,"2025-06-02 17:48:48","2025-11-24 18:16:00"
108728,S,0,C14PO03FBKS,16421,108000,44219979137196,C14PO03FBKS,,"2025-06-02 17:48:48","2025-11-24 18:16:00"
108730,L,2,C14PO03FDGL,16421,108000,,C14PO03FDGL,,"2025-06-02 17:48:48","2025-09-01 10:03:00"
108731,M,7,C14PO03FDGM,16421,108000,44219979169964,C14PO03FDGM,,"2025-06-02 17:48:48","2025-11-24 18:16:00"
